stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,asw_node_id,asw_stop_id
U1007S1,"Luka",50.045671,14.321341,"P",,1,,1,,,1007,
U1040S1,"Anděl",50.069950,14.403768,"P",,1,,1,,,1040,
U1071S1,"Depo Hostivař",50.075533,14.515384,"P",,1,,1,,,1071,
U1072S1,"Můstek",50.083471,14.423972,"P",,1,,1,,,1072,
U1140S1,"Stodůlky",50.046701,14.306539,"P",,1,,1,,,1140,
U1141S1,"Zličín",50.053261,14.291104,"P",,1,,1,,,1141,
U1154S1,"Hůrka",50.050009,14.342792,"P",,1,,1,,,1154,
U1Z1P,"Boletická",50.132732,14.513701,"P",,0,,0,,A,1,1
U1Z2P,"Boletická",50.133011,14.513583,"P",,0,,0,,B,1,2
U3Z1P,"Břetislavka",50.123245,14.389532,"P",,0,,0,,A,3,1
U3Z1,"Břetislavka",50.123245,14.389532,"B",,0,,0,,A,3,1
U3Z2P,"Břetislavka",50.123013,14.389884,"P",,0,,0,,B,3,2
U3Z2,"Břetislavka",50.123013,14.389884,"B",,0,,0,,B,3,2
U4Z1P,"Arbesovo náměstí",50.076248,14.404201,"P",,0,,1,,A,4,1
U4Z2P,"Arbesovo náměstí",50.075886,14.403977,"P",,0,,1,,B,4,2
U4Z3P,"Arbesovo náměstí",50.076405,14.405704,"P",,0,,0,,C,4,3
U4Z4P,"Arbesovo náměstí",50.076561,14.405447,"P",,0,,0,,D,4,4
U4Z52P,"Arbesovo náměstí",50.074791,14.404536,"P",,0,,0,,B,4,52
U5Z1P,"Nové Vokovice",50.100658,14.340713,"P",,0,,0,,A,5,1
U5Z2P,"Nové Vokovice",50.100548,14.340826,"P",,0,,0,,B,5,2
U6Z1P,"Dolnokřeslická",50.024277,14.560534,"P",,0,,0,,A,6,1
U6Z2P,"Dolnokřeslická",50.024208,14.560827,"P",,0,,0,,B,6,2
U9Z1,"Baba I",49.997932,14.415078,"0",,0,,0,,A,9,1
U9Z2,"Baba I",49.998573,14.415112,"0",,0,,0,,B,9,2
U10Z1,"Baba II",49.999592,14.415258,"0",,0,,0,,A,10,1
U10Z2,"Baba II",49.999569,14.414883,"0",,0,,0,,B,10,2
U11Z1P,"Násirovo náměstí",50.001514,14.421579,"P",,0,,0,,A,11,1
U11Z2P,"Násirovo náměstí",50.001251,14.421649,"P",,0,,0,,B,11,2
U12Z1P,"Balabenka",50.104755,14.482804,"P",,0,,1,,A,12,1
U12Z2P,"Balabenka",50.104343,14.481876,"P",,0,,1,,B,12,2
U12Z3P,"Balabenka",50.104233,14.482920,"P",,0,,1,,C,12,3
U12Z6P,"Balabenka",50.103462,14.482787,"P",,0,,0,,F,12,6
U12Z7P,"Balabenka",50.103317,14.482547,"P",,0,,0,,G,12,7
U13Z1P,"Balkán",50.095402,14.496264,"P",,0,,0,,A,13,1
U13Z2P,"Balkán",50.094204,14.496225,"P",,0,,0,,B,13,2
U14Z1P,"Baně",49.952576,14.379086,"P",,0,,0,,A,14,1
U14Z2P,"Baně",49.952782,14.379203,"P",,0,,0,,B,14,2
U14Z2,"Baně",49.952782,14.379203,"B",,0,,0,,B,14,2
U15Z1P,"Baterie",50.092392,14.369828,"P",,0,,1,,A,15,1
U15Z2P,"Baterie",50.092400,14.369410,"P",,0,,1,,B,15,2
U17Z1P,"Lehárova",50.008736,14.406287,"P",,0,,0,,A,17,1
U17Z2P,"Lehárova",50.009029,14.405208,"P",,0,,0,,B,17,2
U18Z1P,"Bazar",50.098793,14.671627,"P",,0,,0,,A,18,1
U18Z1,"Bazar",50.098793,14.671627,"B",,0,,0,,A,18,1
U18Z2P,"Bazar",50.098709,14.671302,"P",,0,,0,,B,18,2
U18Z2,"Bazar",50.098709,14.671302,"B",,0,,0,,B,18,2
U19Z1P,"Belárie",50.013611,14.401879,"P",,0,,1,,A,19,1
U19Z2P,"Belárie",50.012962,14.401795,"P",,0,,1,,B,19,2
U19Z51P,"Belárie",50.013927,14.402276,"P",,0,,0,,51,19,51
U19Z52P,"Belárie",50.014397,14.401937,"P",,0,,0,,H8,19,52
U20Z1P,"Královský letohrádek",50.094227,14.404997,"P",,0,,1,,A,20,1
U20Z2P,"Královský letohrádek",50.094265,14.404528,"P",,0,,1,,B,20,2
U21Z1P,"Sídliště Letňany",50.142757,14.506633,"P",,0,,0,,A,21,1
U21Z2P,"Sídliště Letňany",50.142586,14.506975,"P",,0,,0,,B,21,2
U22Z1P,"K Lipanům",50.015751,14.606433,"P",,0,,0,,A,22,1
U22Z1,"K Lipanům",50.015751,14.606433,"B",,0,,0,,A,22,1
U22Z2P,"K Lipanům",50.016083,14.606516,"P",,0,,0,,B,22,2
U22Z2,"K Lipanům",50.016083,14.606516,"B",,0,,0,,B,22,2
U23Z1P,"Benkova",50.037930,14.499096,"P",,0,,0,,A,23,1
U23Z2P,"Benkova",50.037834,14.499764,"P",,0,,0,,B,23,2
U24Z1P,"Na Beránku",49.997589,14.428674,"P",,0,,0,,A,24,1
U24Z1,"Na Beránku",49.997589,14.428674,"B",,0,,0,,A,24,1
U24Z2P,"Na Beránku",49.997833,14.429509,"P",,0,,0,,B,24,2
U24Z2,"Na Beránku",49.997833,14.429509,"B",,0,,0,,B,24,2
U25Z1P,"Bertramka",50.072231,14.393289,"P",,0,,1,,A,25,1
U25Z2P,"Bertramka",50.072239,14.392434,"P",,0,,1,,B,25,2
U26Z1P,"Betonárka",50.036713,14.574786,"P",,0,,0,,A,26,1
U26Z1,"Betonárka",50.036713,14.574786,"B",,0,,0,,A,26,1
U26Z2P,"Betonárka",50.036774,14.574766,"P",,0,,0,,B,26,2
U26Z2,"Betonárka",50.036774,14.574766,"B",,0,,0,,B,26,2
U27Z1P,"Sídliště Jinonice",50.051014,14.365166,"P",,0,,0,,A,27,1
U27Z2P,"Sídliště Jinonice",50.051109,14.366108,"P",,0,,0,,B,27,2
U28Z1P,"Běchovice",50.080860,14.617603,"P",,0,,0,,A,28,1
U28Z2P,"Běchovice",50.081039,14.617265,"P",,0,,0,,B,28,2
U28Z3P,"Běchovice",50.081627,14.616508,"P",,0,,0,,C,28,3
U28Z4P,"Běchovice",50.081306,14.616299,"P",,0,,0,,D,28,4
U29Z1P,"Bělocerkevská",50.072605,14.470298,"P",,0,,0,,A,29,1
U29Z2P,"Bělocerkevská",50.071182,14.470616,"P",,0,,0,,B,29,2
U29Z3P,"Bělocerkevská",50.071896,14.470079,"P",,0,,0,,C,29,3
U30Z1P,"Sídliště Horní Počernice",50.110989,14.613761,"P",,0,,0,,A,30,1
U30Z2P,"Sídliště Horní Počernice",50.111595,14.614559,"P",,0,,0,,B,30,2
U31Z1P,"Bílá Hora",50.075546,14.322789,"P",,0,,2,,A,31,1
U31Z2P,"Bílá Hora",50.075859,14.323385,"P",,0,,2,,B,31,2
U31Z3P,"Bílá Hora",50.075565,14.322861,"P",,0,,2,,C,31,3
U31Z4P,"Bílá Hora",50.075798,14.323381,"P",,0,,2,,D,31,4
U31Z5P,"Bílá Hora",50.075966,14.323616,"P",,0,,0,,E,31,5
U31Z6P,"Bílá Hora",50.075733,14.323833,"P",,0,,0,,F,31,6
U31Z7P,"Bílá Hora",50.075558,14.324080,"P",,0,,0,,G,31,7
U31Z7,"Bílá Hora",50.075558,14.324080,"B",,0,,0,,G,31,7
U31Z8P,"Bílá Hora",50.075401,14.321499,"P",,0,,0,,H,31,8
U31Z8,"Bílá Hora",50.075401,14.321499,"B",,0,,0,,H,31,8
U32Z1P,"Bílá labuť",50.090168,14.435470,"P",,0,,1,,A,32,1
U32Z2P,"Bílá labuť",50.090351,14.436260,"P",,0,,1,,B,32,2
U33Z1P,"Bílý Beránek",50.061119,14.310266,"P",,0,,0,,A,33,1
U33Z2P,"Bílý Beránek",50.061039,14.309970,"P",,0,,0,,B,33,2
U33Z3,"Bílý Beránek",50.061764,14.308830,"0",,0,,0,,C,33,3
U33Z4,"Bílý Beránek",50.061607,14.308998,"0",,0,,0,,D,33,4
U34Z1P,"Biskupcova",50.088543,14.468795,"P",,0,,1,,A,34,1
U34Z2P,"Biskupcova",50.089100,14.468634,"P",,0,,1,,B,34,2
U34Z51P,"Biskupcova",50.087978,14.469013,"P",,0,,0,,C,34,51
U34Z52P,"Biskupcova",50.089088,14.468820,"P",,0,,0,,D,34,52
U35Z1P,"Blatnická",50.064301,14.270499,"P",,0,,0,,A,35,1
U35Z1,"Blatnická",50.064301,14.270499,"B",,0,,0,,A,35,1
U35Z2P,"Blatnická",50.063950,14.270525,"P",,0,,0,,B,35,2
U35Z2,"Blatnická",50.063950,14.270525,"B",,0,,0,,B,35,2
U36Z1P,"Blatov",50.078587,14.646181,"P",,0,,0,,A,36,1
U36Z2P,"Blatov",50.078907,14.644798,"P",,0,,0,,B,36,2
U37Z1P,"Bohdalec",50.060551,14.469500,"P",,0,,0,,A,37,1
U37Z2P,"Bohdalec",50.060055,14.470103,"P",,0,,0,,B,37,2
U38Z2P,"Staré Bohnice",50.133312,14.415804,"P",,0,,0,,B,38,2
U38Z3P,"Staré Bohnice",50.133839,14.415882,"P",,0,,0,,C,38,3
U39Z1P,"Bojasova",50.132591,14.462463,"P",,0,,0,,A,39,1
U39Z2P,"Bojasova",50.132477,14.462760,"P",,0,,0,,B,39,2
U40Z1P,"Na Pískách",50.098957,14.369691,"P",,0,,1,,A,40,1
U40Z2P,"Na Pískách",50.099087,14.370344,"P",,0,,1,,B,40,2
U40Z6P,"Na Pískách",50.098534,14.368917,"P",,0,,0,,F,40,6
U42Z1P,"Botanická zahrada",50.070499,14.419605,"P",,0,,1,,A,42,1
U42Z2P,"Botanická zahrada",50.071053,14.418921,"P",,0,,1,,B,42,2
U43Z1P,"Brechtova",50.035534,14.517245,"P",,0,,0,,A,43,1
U43Z2P,"Brechtova",50.035191,14.516256,"P",,0,,0,,B,43,2
U44Z1P,"Břevnovská",50.085663,14.365043,"P",,0,,0,,A,44,1
U44Z2P,"Břevnovská",50.085361,14.364765,"P",,0,,0,,B,44,2
U45Z1P,"Bruselská",50.073132,14.433301,"P",,0,,1,,A,45,1
U45Z2P,"Bruselská",50.072880,14.433223,"P",,0,,1,,B,45,2
U46Z1P,"Brusnice",50.092976,14.391732,"P",,0,,1,,A,46,1
U46Z2P,"Brusnice",50.093002,14.391258,"P",,0,,2,,B,46,2
U46Z3P,"Brusnice",50.093136,14.393168,"P",,0,,1,,C,46,3
U46Z4P,"Brusnice",50.093166,14.392696,"P",,0,,1,,D,46,4
U47Z1P,"Blatiny",50.065704,14.303620,"P",,0,,1,,A,47,1
U47Z2P,"Blatiny",50.065804,14.302096,"P",,0,,1,,B,47,2
U47Z3P,"Blatiny",50.065819,14.302349,"P",,0,,0,,C,47,3
U47Z4P,"Blatiny",50.065655,14.302533,"P",,0,,0,,D,47,4
U48Z1P,"Argentinská",50.103676,14.443434,"P",,0,,0,,A,48,1
U48Z2P,"Argentinská",50.102432,14.443084,"P",,0,,0,,B,48,2
U48Z3P,"Argentinská",50.103027,14.443673,"P",,0,,0,,C,48,3
U49Z1P,"Geologická",50.036499,14.386999,"P",,0,,0,,A,49,1
U49Z2P,"Geologická",50.036331,14.387161,"P",,0,,0,,B,49,2
U49Z3P,"Geologická",50.035862,14.387547,"P",,0,,0,,C,49,3
U49Z4P,"Geologická",50.036514,14.388429,"P",,0,,1,,D,49,4
U49Z5P,"Geologická",50.036255,14.389438,"P",,0,,1,,E,49,5
U50Z1,"Budějovická",50.044762,14.447589,"0",,0,,0,,A,50,1
U50Z2P,"Budějovická",50.044842,14.447892,"P",,0,,0,,B,50,2
U50Z3P,"Budějovická",50.044437,14.447826,"P",,0,,0,,F,50,3
U50Z4,"Budějovická",50.044735,14.448334,"0",,0,,1,,C,50,4
U50Z5P,"Poliklinika Budějovická",50.043232,14.450029,"P",,0,,0,,P,50,5
U50Z6P,"Poliklinika Budějovická",50.043282,14.449800,"P",,0,,0,,L,50,6
U50Z7P,"Budějovická",50.045929,14.449405,"P",,0,,0,,I,50,7
U50Z8P,"Budějovická",50.046230,14.447404,"P",,0,,0,,J,50,8
U50Z9,"Budějovická",50.044601,14.448104,"0",,0,,0,,D,50,9
U50Z14P,"Poliklinika Budějovická",50.043316,14.450199,"P",,0,,0,,O,50,14
U50Z15P,"Budějovická",50.044777,14.449233,"P",,0,,0,,H,50,15
U50Z81,"Budějovická",50.044762,14.447589,"0",,0,,0,,A,50,81
U50Z84,"Budějovická",50.044762,14.447589,"0",,0,,0,,A,50,84
U50Z87,"Budějovická",50.045929,14.449405,"0",,0,,0,,G,50,87
U50Z101P,"Budějovická",50.044490,14.448700,"P",,0,U50S1,1,U50L2,1,50,101
U50Z102P,"Budějovická",50.044470,14.448660,"P",,0,U50S1,1,U50L2,2,50,102
U51Z1P,"Sportareál Satalice",50.123600,14.566983,"P",,0,,0,,A,51,1
U51Z1,"Sportareál Satalice",50.123600,14.566983,"B",,0,,0,,A,51,1
U51Z2P,"Sportareál Satalice",50.123249,14.566564,"P",,0,,0,,B,51,2
U51Z2,"Sportareál Satalice",50.123249,14.566564,"B",,0,,0,,B,51,2
U52Z1P,"Chodov",50.030651,14.491899,"P",,0,,0,,C,52,1
U52Z2P,"Chodov",50.030766,14.491459,"P",,0,,0,,F,52,2
U52Z4P,"Chodov",50.030884,14.491749,"P",,0,,0,,B,52,4
U52Z5P,"Chodov",50.031086,14.491516,"P",,0,,0,,A,52,5
U52Z101P,"Chodov",50.031640,14.490940,"P",,0,U52S1,1,U52L2,1,52,101
U52Z102P,"Chodov",50.031700,14.490980,"P",,0,U52S1,1,U52L2,2,52,102
U53Z1P,"Budovec",50.133850,14.383866,"P",,0,,0,,A,53,1
U53Z1,"Budovec",50.133850,14.383866,"B",,0,,0,,A,53,1
U53Z2P,"Budovec",50.134701,14.383432,"P",,0,,0,,B,53,2
U54Z1P,"Bulovka",50.116058,14.468148,"P",,0,,1,,A,54,1
U54Z2P,"Bulovka",50.116547,14.467760,"P",,0,,1,,B,54,2
U54Z3P,"Bulovka",50.116631,14.467167,"P",,0,,0,,C,54,3
U54Z4P,"Bulovka",50.117596,14.468925,"P",,0,,0,,D,54,4
U54Z5P,"Bulovka",50.116039,14.467165,"P",,0,,0,,E,54,5
U54Z6P,"Bulovka",50.115597,14.468525,"P",,0,,0,,F,54,6
U54Z6,"Bulovka",50.115597,14.468525,"0",,0,,0,,F,54,6
U54Z76,"Bulovka",50.115597,14.468525,"0",,0,,0,,F,54,76
U55Z1P,"Šimůnkova",50.132652,14.470133,"P",,0,,0,,A,55,1
U55Z2P,"Šimůnkova",50.132618,14.470633,"P",,0,,0,,B,55,2
U55Z3P,"Šimůnkova",50.133533,14.470650,"P",,0,,0,,C,55,3
U56Z1P,"Kuliška",50.107750,14.364481,"P",,0,,0,,A,56,1
U56Z2P,"Kuliška",50.107635,14.364358,"P",,0,,0,,B,56,2
U57Z1P,"Cementárna Radotín",49.993820,14.342616,"P",,0,,0,,A,57,1
U57Z1,"Cementárna Radotín",49.993820,14.342616,"0",,0,,0,,A,57,1
U57Z2P,"Cementárna Radotín",49.994373,14.342504,"P",,0,,0,,B,57,2
U57Z2,"Cementárna Radotín",49.994373,14.342504,"0",,0,,0,,B,57,2
U58Z1P,"Nádraží Cibulka",50.065582,14.362999,"P",,0,,0,,A,58,1
U58Z2P,"Nádraží Cibulka",50.065483,14.363736,"P",,0,,0,,B,58,2
U59Z1P,"Cikánka",49.997482,14.322582,"P",,0,,0,,A,59,1
U59Z2P,"Cikánka",49.997417,14.322666,"P",,0,,0,,B,59,2
U60Z1P,"Cílkova",50.016449,14.443466,"P",,0,,0,,A,60,1
U60Z2P,"Cílkova",50.016552,14.443150,"P",,0,,0,,B,60,2
U61Z1P,"Ciolkovského",50.088116,14.307083,"P",,0,,0,,A,61,1
U61Z2P,"Ciolkovského",50.087967,14.306649,"P",,0,,0,,B,61,2
U62Z1P,"Cukrovar Modřany",49.999332,14.406349,"P",,0,,0,,A,62,1
U62Z1,"Cukrovar Modřany",49.999332,14.406349,"0",,0,,0,,A,62,1
U62Z2P,"Cukrovar Modřany",50.000153,14.406016,"P",,0,,0,,B,62,2
U62Z2,"Cukrovar Modřany",50.000153,14.406016,"0",,0,,0,,B,62,2
U63Z1P,"Cukrovar Čakovice",50.151550,14.519166,"P",,0,,0,,A,63,1
U63Z2P,"Cukrovar Čakovice",50.151669,14.518833,"P",,0,,0,,B,63,2
U64Z1P,"Čakovice",50.151806,14.528818,"P",,0,,0,,A,64,1
U64Z1,"Čakovice",50.151806,14.528818,"B",,0,,0,,A,64,1
U64Z2P,"Čakovice",50.151485,14.530983,"P",,0,,0,,B,64,2
U64Z3P,"Čakovice",50.151283,14.531083,"P",,0,,0,,C,64,3
U64Z3,"Čakovice",50.151283,14.531083,"B",,0,,0,,C,64,3
U64Z6P,"Čakovice",50.151176,14.530661,"P",,0,,0,,F,64,6
U65Z1P,"Čakovická",50.119019,14.518950,"P",,0,,0,,A,65,1
U65Z2P,"Čakovická",50.119133,14.518499,"P",,0,,0,,B,65,2
U66Z1P,"Čechova škola",50.117382,14.424297,"P",,0,,0,,A,66,1
U66Z2P,"Čechova škola",50.116985,14.422551,"P",,0,,0,,B,66,2
U67Z2P,"Čechovo náměstí",50.068066,14.459470,"P",,0,,1,,B,67,2
U67Z4P,"Čechovo náměstí",50.067863,14.458236,"P",,0,,1,,D,67,4
U67Z7P,"Čechovo náměstí",50.068172,14.459036,"P",,0,,1,,G,67,7
U68Z1P,"Čechův most",50.094048,14.416889,"P",,0,,2,,A,68,1
U68Z2P,"Čechův most",50.094090,14.417727,"P",,0,,2,,B,68,2
U69Z1P,"Černínova",50.088974,14.462292,"P",,0,,0,,A,69,1
U69Z2P,"Černínova",50.089111,14.462045,"P",,0,,0,,B,69,2
U70Z1P,"Nové Strašnice",50.077885,14.510650,"P",,0,,1,,A,70,1
U70Z2P,"Nové Strašnice",50.077820,14.511353,"P",,0,,1,,B,70,2
U70Z3P,"Nové Strašnice",50.078056,14.509384,"P",,0,,1,,C,70,3
U70Z4P,"Nové Strašnice",50.078148,14.509957,"P",,0,,1,,D,70,4
U70Z6P,"Nové Strašnice",50.077869,14.508815,"P",,0,,0,,F,70,6
U70Z7P,"Nové Strašnice",50.077744,14.510992,"P",,0,,0,,G,70,7
U71Z1P,"Černý kůň",50.023079,14.403731,"P",,0,,1,,A,71,1
U71Z2P,"Černý kůň",50.022518,14.403527,"P",,0,,1,,B,71,2
U71Z3P,"Černý kůň",50.022350,14.403732,"P",,0,,0,,C,71,3
U71Z4P,"Černý kůň",50.022442,14.404093,"P",,0,,0,,D,71,4
U71Z5P,"Černý kůň",50.022602,14.405138,"P",,0,,0,,E,71,5
U71Z6P,"Černý kůň",50.022709,14.404975,"P",,0,,0,,F,71,6
U72Z1P,"Lehovec",50.106884,14.547225,"P",,0,,1,,A,72,1
U72Z2P,"Lehovec",50.106815,14.547980,"P",,0,,1,,B,72,2
U72Z3P,"Lehovec",50.106865,14.547379,"P",,0,,1,,C,72,3
U72Z4P,"Lehovec",50.106964,14.547279,"P",,0,,0,,D,72,4
U72Z4,"Lehovec",50.106964,14.547279,"0",,0,,0,,D,72,4
U72Z5P,"Lehovec",50.107304,14.547966,"P",,0,,0,,E,72,5
U72Z5,"Lehovec",50.107304,14.547966,"0",,0,,0,,E,72,5
U73Z1P,"Červený Vrch",50.096840,14.352971,"P",,0,,1,,A,73,1
U73Z2P,"Červený Vrch",50.096821,14.352312,"P",,0,,1,,B,73,2
U74Z1P,"Čimice",50.140717,14.430833,"P",,0,,0,,A,74,1
U74Z2P,"Čimice",50.140900,14.430483,"P",,0,,0,,B,74,2
U75Z1P,"Kolbenova",50.110622,14.515847,"P",,0,,1,,A,75,1
U75Z2P,"Kolbenova",50.110546,14.516171,"P",,0,,1,,B,75,2
U75Z101P,"Kolbenova",50.110431,14.516403,"P",,0,U75S1,0,U75L1,1,75,101
U75Z102P,"Kolbenova",50.110354,14.516393,"P",,0,U75S1,0,U75L1,2,75,102
U76Z1P,"Modřanská škola",50.009224,14.403052,"P",,0,,1,,A,76,1
U76Z2P,"Modřanská škola",50.008427,14.403112,"P",,0,,1,,B,76,2
U76Z3P,"Modřanská škola",50.009800,14.402949,"P",,0,,0,,C,76,3
U76Z4P,"Modřanská škola",50.008816,14.403466,"P",,0,,0,,D,76,4
U78Z1P,"Ládví",50.126484,14.470140,"P",,0,,1,,A,78,1
U78Z2P,"Ládví",50.126503,14.470992,"P",,0,,1,,B,78,2
U78Z3P,"Ládví",50.126629,14.470225,"P",,0,,0,,C,78,3
U78Z3,"Ládví",50.126629,14.470225,"0",,0,,0,,C,78,3
U78Z4P,"Ládví",50.126255,14.469768,"P",,0,,0,,D,78,4
U78Z5,"Ládví",50.126217,14.469286,"0",,0,,0,,E,78,5
U78Z6,"Ládví",50.126186,14.468814,"0",,0,,0,,F,78,6
U78Z101P,"Ládví",50.126630,14.469550,"P",,0,U78S1,1,U78L2,1,78,101
U78Z102P,"Ládví",50.126670,14.469540,"P",,0,U78S1,1,U78L2,2,78,102
U79Z1P,"Depo Kačerov",50.045677,14.470345,"P",,0,,0,,A,79,1
U79Z2P,"Depo Kačerov",50.045635,14.470682,"P",,0,,0,,B,79,2
U80Z1P,"Dědina",50.093491,14.304741,"P",,0,,0,,A,80,1
U80Z2P,"Dědina",50.093330,14.304160,"P",,0,,0,,B,80,2
U80Z2,"Dědina",50.093330,14.304160,"B",,0,,0,,B,80,2
U80Z3,"Dědina",50.093628,14.302942,"B",,0,,0,,C,80,3
U80Z4,"Dědina",50.093334,14.303589,"B",,0,,0,,D,80,4
U81Z1P,"Dělnická",50.103657,14.449816,"P",,0,,1,,A,81,1
U81Z2P,"Dělnická",50.102634,14.450038,"P",,0,,1,,B,81,2
U81Z3P,"Tusarova",50.100777,14.450016,"P",,0,,1,,C,81,3
U82Z1P,"Bílenecké náměstí",50.149639,14.442480,"P",,0,,0,,A,82,1
U82Z2P,"Bílenecké náměstí",50.149490,14.442698,"P",,0,,0,,B,82,2
U83Z1P,"Divadlo Na Fidlovačce",50.064831,14.436282,"P",,0,,1,,A,83,1
U83Z2P,"Divadlo Na Fidlovačce",50.064648,14.437133,"P",,0,,1,,B,83,2
U84Z1P,"Dívčí hrady",50.055851,14.399149,"P",,0,,0,,A,84,1
U84Z2P,"Dívčí hrady",50.055664,14.398631,"P",,0,,0,,B,84,2
U84Z3P,"Dívčí hrady",50.056110,14.397743,"P",,0,,0,,C,84,3
U85Z1P,"Divoká Šárka",50.092789,14.324683,"P",,0,,2,,A,85,1
U85Z2P,"Divoká Šárka",50.093082,14.325022,"P",,0,,2,,B,85,2
U85Z3P,"Divoká Šárka",50.092728,14.325678,"P",,0,,1,,C,85,3
U85Z4P,"Divoká Šárka",50.092915,14.325330,"P",,0,,1,,D,85,4
U85Z6P,"Divoká Šárka",50.091599,14.324478,"P",,0,,0,,F,85,6
U85Z7P,"Divoká Šárka",50.092762,14.322865,"P",,0,,0,,G,85,7
U85Z8P,"Divoká Šárka",50.092560,14.322079,"P",,0,,0,,H,85,8
U85Z8,"Divoká Šárka",50.092560,14.322079,"B",,0,,0,,H,85,8
U85Z9,"Divoká Šárka",50.092758,14.323483,"B",,0,,0,,I,85,9
U87Z1P,"Dlouhá třída",50.091671,14.427539,"P",,0,,1,,A,87,1
U87Z2P,"Dlouhá třída",50.090538,14.427899,"P",,0,,2,,B,87,2
U88Z1P,"Dobeška",50.042152,14.416316,"P",,0,,0,,A,88,1
U88Z2P,"Dobeška",50.041508,14.415683,"P",,0,,0,,B,88,2
U89Z1P,"Dobratická",50.130318,14.508650,"P",,0,,0,,A,89,1
U89Z1,"Dobratická",50.130318,14.508650,"0",,0,,0,,A,89,1
U89Z2P,"Dobratická",50.130367,14.508383,"P",,0,,0,,B,89,2
